gene_name,ensembl_id,top_tissue,max_pip,twas_z_pop1,chrom,tx_start,tx_stop,block
RP11-274B21.10,ENSG00000271553,muscle_skeletal,0.667,3.65,7,127667042.0,129668156.0,7:127229167-7:129138332
TUBB8,ENSG00000261456,ovary,0.666,3.36,10,-953109.0,1074163.0,10:14583-10:705399
HNRNPF,ENSG00000169813,nerve_tibial,0.666,3.05,10,42385616.0,44409166.0,10:43399323-10:44234627
NPTX1,ENSG00000171246,muscle_skeletal,0.666,-3.66,17,79467147.0,81477843.0,17:78267332-17:79302554
MTCL1,ENSG00000168502,nerve_tibial,0.665,-3.66,18,7705660.0,9832778.0,18:8498933-18:11075914
SLC18A2,ENSG00000165646,muscle_skeletal,0.665,3.46,10,116241092.0,118277273.0,10:118831841-10:120647811
FOXF2,ENSG00000137273,adipose_subcutaneous,0.664,-3.01,6,389833.0,2395597.0,6:1452127-6:2458702
CRAT,ENSG00000095321,skin_not_sun_exposed_suprapubic,0.664,-3.41,9,128094809.0,130111189.0,9:131252501-9:132423455
SLC9C2,ENSG00000162753,testis,0.664,-4.64,1,172500463.0,174602771.0,1:173128768-1:175120632
GAPVD1,ENSG00000165219,lung,0.663,1.87,9,124261793.0,126367207.0,9:127293231-9:129403191
SMAD5,ENSG00000113658,testis,0.661,3.67,5,135132844.0,137188747.0,5:132803957-5:135441711
CTD-2260A17.3,ENSG00000272109,muscle_skeletal,0.659,-2.02,5,95804352.0,97806105.0,5:94474279-5:96627815
SVIL,ENSG00000197321,cells_cultured_fibroblasts,0.658,2.87,10,28457337.0,30736781.0,10:29494763-10:30169909
TEX10,ENSG00000136891,adipose_subcutaneous,0.658,-3.59,9,99302076.0,101352939.0,9:101862155-9:103205694
ACER3,ENSG00000078124,nerve_tibial,0.656,3.37,11,75860866.0,78026797.0,11:74701306-11:77086163
ARPP21,ENSG00000172995,skin_sun_exposed_lower_leg,0.655,-2.82,3,34638944.0,36794496.0,3:35241966-3:36445350
NPNT,ENSG00000168743,lung,0.655,6.64,4,104894774.0,107004027.0,4:106580148-4:107894192
LAMC2,ENSG00000058085,artery_aorta,0.655,-4.72,1,182186237.0,184244900.0,1:182786221-1:184626379
BRINP3,ENSG00000162670,nerve_tibial,0.654,3.37,1,189097661.0,191478404.0,1:189935000-1:191899800
CCNA1,ENSG00000133101,adipose_visceral_omentum,0.654,-1.91,13,35431519.0,37442882.0,13:36924048-13:38304026
ZNF521,ENSG00000198795,brain_cerebellum,0.652,-3.52,18,24061925.0,26352190.0,18:23069508-18:25416687
PCDH8,ENSG00000136099,brain_basalganglia,0.651,-3.28,13,51842888.0,53848641.0,13:52765487-13:54108729
BMS1P3,ENSG00000240089,stomach,0.651,-2.15,10,85992252.0,88000435.0,10:87367307-10:89253624
LIPJ,ENSG00000204022,thyroid,0.65,3.59,10,87586761.0,89606976.0,10:89253624-10:90246824
RP11-164P12.5,ENSG00000278978,adrenal_gland,0.65,-2.26,4,150669785.0,152670503.0,4:151861032-4:153556489
NXPH3,ENSG00000182575,ovary,0.649,-7.3,17,48575857.0,50582290.0,17:44979537-17:47798656
